,rc_th,rc_r,rc_p,rc_y,sen_roll,sen_pitch,sen_yaw,relative_yaw,cam_x,cam_y,cam_z,estimated_x,estimated_y,drone_error_x,drone_error_y,mode,AUX2,AUX3,Battery,time step
10,1750,1500,1500,1500,-1.1,0.2,21,169.0,-4.350900717376858,2.3281241874579255,357.3753973894755,-4.859998378529968,2.678025933141008,-3.8267353793383836,-3.1155409837164716,Controller Detection,1500,1500,4.1,35.94264078140259
11,1750,1500,1500,1500,-1.0,0.2,21,169.0,-4.544011783573688,2.496502575147526,373.9476943168795,-4.859998378529968,2.678025933141008,-3.9841703403435784,-3.317673114714784,Controller Detection,1500,1500,4.1,36.01664447784424
12,1750,1501,1500,1500,-1.0,0.2,20,170.0,-4.557996036943707,2.571056262595228,375.0909119529385,-4.859998378529968,2.678025933141008,-4.042290600702271,-3.3234838464627368,Controller Detection,1500,1500,4.1,36.111661434173584
13,1750,1500,1500,1500,-1.0,0.2,20,170.0,-4.466906536147251,2.5195364055190232,367.073070861213,-4.859998378529968,2.678025933141008,-3.9615312833948533,-3.2569291659621147,Controller Detection,1500,1500,4.1,36.20064640045166
14,1750,1500,1500,1500,-1.0,0.2,20,170.0,-1000.0,-1000.0,-1000.0,-4.383903448828929,2.4725901915411983,-3.887941323985431,-3.196282835608627,Controller Memory,1500,1500,4.1,36.2826464176178
15,1750,1500,1500,1500,-1.0,0.2,20,170.0,-1000.0,-1000.0,-1000.0,-4.298874353776434,2.424498075697766,-3.812555120222481,-3.134156199662719,Controller Memory,1500,1500,4.1,36.36664795875549
16,1750,1500,1500,1500,-0.9,0.2,20,170.0,-1000.0,-1000.0,-1000.0,-4.220935923790971,2.3804164116367525,-3.743455450747919,-3.0772103687925565,Controller Memory,1500,1500,4.1,36.443644523620605
17,1750,1500,1500,1500,-0.9,0.2,20,170.0,-1000.0,-1000.0,-1000.0,-4.145018674838706,2.3374779194785926,-3.6761477463074015,-3.0217413168784995,Controller Memory,1500,1500,4.1,36.51864433288574
18,1750,1500,1500,1500,-0.9,0.2,20,170.0,-1000.0,-1000.0,-1000.0,-4.067075900822366,2.2933937984511013,-3.607044225445303,-2.9647923120356543,Controller Memory,1500,1500,4.1,36.59564518928528
19,1750,1500,1500,1500,-0.9,0.2,20,170.0,-1000.0,-1000.0,-1000.0,-3.980008489948212,2.244148819337042,-3.529850865064139,-2.9011763775747297,Controller Memory,1500,1500,4.1,36.681660413742065
20,1750,1500,1500,1500,-0.9,0.1,20,170.0,-1000.0,-1000.0,-1000.0,-3.874737417682643,2.18403667749178,-3.4366174608161844,-2.8236973443753866,Controller Memory,1500,1500,4.1,36.786657094955444
21,1750,1500,1500,1500,-0.9,0.1,20,170.0,-1000.0,-1000.0,-1000.0,-3.79478190935981,2.1393854067023352,-3.3656302681269263,-2.7658402984054007,Controller Memory,1500,1500,4.1,36.86464858055115
22,1750,1500,1500,1500,-0.9,0.1,20,170.0,-1000.0,-1000.0,-1000.0,-3.717852742548178,2.0958745778529915,-3.2974254043565274,-2.7096318871883045,Controller Memory,1500,1500,4.1,36.94064807891846
23,1750,1500,1500,1500,-0.8,0.1,20,170.0,-1000.0,-1000.0,-1000.0,-3.643956191959014,2.0540789846014103,-3.2319092370181055,-2.6556392615667224,Controller Memory,1500,1500,4.1,37.013651609420776
24,1750,1500,1500,1500,-0.8,0.1,20,170.0,-1000.0,-1000.0,-1000.0,-3.56298393907584,2.0082814024519458,-3.160119801281697,-2.5964767634419674,Controller Memory,1500,1500,4.1,37.093645334243774
25,1750,1500,1500,1500,-0.8,0.1,20,170.0,-1000.0,-1000.0,-1000.0,-3.4870647594431854,1.9653418183086846,-3.092810385113385,-2.5410063008733843,Controller Memory,1500,1500,4.1,37.168647050857544
26,1750,1501,1500,1500,-0.8,0.1,20,170.0,-4.572899954923304,2.4528789269358344,376.13764016460846,-3.4870647594431854,1.9653418183086846,-4.077489373657623,-3.209689928272294,Controller Detection,1500,1500,4.1,37.24964666366577
27,1750,1500,1500,1500,-0.8,0.1,20,170.0,-1000.0,-1000.0,-1000.0,-4.462598012231698,2.390492589619116,-3.979696439108984,-3.1290976482592354,Controller Memory,1500,1500,4.1,37.35861563682556
